unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
4294,timareta,timareta timareta Heliconius,ST,"insolita Heliconius timareta (Heliconius, H.H. Riffarth 1907)",f. insolita,macho,Santa Jnez?? ECD ??,,,m,,,,"Haensch, R.",BMNH,,NEIL ROSSER,,-1.416666667,-78.2,Brown
4295,timareta,timareta timareta Heliconius,ST,"insolita Heliconius timareta (Heliconius, H.H. Riffarth 1907)",f. insolita,hembra,Santa Jnez?? ECD ??,,,m,,,,"Haensch, R.",BMNH,,NEIL ROSSER,,-1.416666667,-78.2,Brown
4296,timareta,timareta timareta Heliconius,,,f. strandi,macho,Santa Jnez?? ECD ??,,,m,,,,"Haensch, R.",BMNH,,NEIL ROSSER,,-1.416666667,-78.2,Brown
4297,timareta,timareta timareta Heliconius,,,f. strandi,macho,Alpayacu (=Ashpiyacu) Rio ECD PA,3600,3600,ft,,,,"Palmer, M.G.",BMNH,,NEIL ROSSER,,-1.466666667,-78.11666667,Brown
4301,timareta,timareta timareta Heliconius,,,ab. richardi,macho,Zamora ECD ZC,3000,4000,ft,,,,"Baron, O.T.",BMNH,,NEIL ROSSER,,-4.066666667,-78.96666667,Brown
4304,timareta,timareta timareta Heliconius,,,f.?,macho,Alpayacu (=Ashpiyacu) Rio ECD PA,3600,3600,ft,,,,"Palmer, M.G.",BMNH,,NEIL ROSSER,,-1.466666667,-78.11666667,Brown
4306,timareta,timareta timareta Heliconius,,,f.?,hembra,D'un envoi fait de Guayaquil...,,,m,,,,"Feyer, E.",BMNH,,NEIL ROSSER,,,,unknown
4309,timareta,timareta timareta Heliconius,,,f. timareta,macho,Quijos Rio at El Chaco ECD NA,1300,1300,m,28,11,1977,Samson,BMNH,,NEIL ROSSER,,-0.339288889,-77.80506389,
4310,timareta,timareta timareta Heliconius,,,f. timareta,macho,Santa Jnez?? ECD ??,,,m,,,,"Haensch, R.",BMNH,,NEIL ROSSER,,-1.416666667,-78.2,Brown
4311,timareta,timareta timareta Heliconius,,,f. timareta,hembra,Santa Jnez?? ECD ??,,,m,,,,"Haensch, R.",BMNH,,NEIL ROSSER,,-1.416666667,-78.2,Brown
4313,timareta,timareta timareta Heliconius,,,f. timareta,macho,D'un envoi fait de Guayaquil...,,,m,,,,"Feyer, E.",BMNH,,NEIL ROSSER,,,,unknown
4314,timareta,timareta timareta Heliconius,,,,macho,Hoso Eoche (?) Villa Gomes ECD,,,m,,,,,BMNH,,NEIL ROSSER,,,,unknown
4319,timareta,timareta timareta Heliconius,,,f. ?,macho,Zamora ECD ZC,3000,4000,ft,,,,,BMNH,,NEIL ROSSER,,-4.066666667,-78.96666667,Brown
4320,timareta,timareta timareta Heliconius,,,,macho,El Topo ECD TU,4200,4200,ft,,,,"Palmer, M.G.",BMNH,,NEIL ROSSER,,-1.416666667,-78.16666667,Brown
