unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
982,cydno,cydno chioneus Heliconius,,,,desconocido,El Valle PAN,,,m,,,,,KB 1979,,NEIL ROSSER,,8.6,-80.13333333,Label
1005,cydno,cydno chioneus Heliconius,,,,desconocido,Frontino COL AN,,,m,,,,,KB 1979,,NEIL ROSSER,,6.766666667,-76.13333333,Brown
1297,cydno,cydno chioneus Heliconius,,,,desconocido,Santa Fe PAN VE,,,m,,,,,KB 1979,,NEIL ROSSER,,8.516666667,-81.08333333,Brown
3702,cydno,cydno chioneus Heliconius,,,"f. exornata?. This specimen was originally entered as cydno galanthus Heliconius, but amended in light of form",macho,Turrialba CRI CA,2000,2000,ft,,11,1926,"Hall, A.",BMNH,,NEIL ROSSER,,9.883333333,-83.63333333,Brown
3704,cydno,cydno chioneus Heliconius,,,"f. exornata?. This specimen was originally entered as cydno galanthus Heliconius, but amended in light of form",macho,Limon CRI LI,,,m,,5,,,BMNH,,NEIL ROSSER,,9.983333333,-83.06666667,Brown
3706,cydno,cydno chioneus Heliconius,,,"f. exornata?. This specimen was originally entered as cydno galanthus Heliconius, but amended in light of form",macho,Estrella Rio CRI LI,,,m,,,,,BMNH,,NEIL ROSSER,,9.713847222,-83.00533056,Google Earth
3710,cydno,cydno chioneus Heliconius,,,"f. exornata?. This specimen was originally entered as cydno galanthus Heliconius, but amended in light of form",hembra,Turrialba CRI CA,2000,2000,ft,,11,1926,"Hall, A.",BMNH,,NEIL ROSSER,,9.883333333,-83.63333333,Brown
3712,cydno,cydno chioneus Heliconius,,,"f. exornata?. This specimen was originally entered as cydno galanthus Heliconius, but amended in light of form",hembra,Tucurrique CRI CA,,,m,,,,,BMNH,,NEIL ROSSER,,9.85,-83.71666667,Falling Rain
3723,cydno,cydno chioneus Heliconius,ST,"exornata Heliconius cydno (Heliconius, H.H. Riffarth 1907)",,macho,Limon CRI LI,,,m,,,1904,"Hall, A.",BMNH,09-Oct,NEIL ROSSER,,9.983333333,-83.06666667,Brown
3724,cydno,cydno chioneus Heliconius,ST,"exornata Heliconius cydno (Heliconius, H.H. Riffarth 1907)",,macho,Limon CRI LI,,,m,,,1904,"Hall, A.",BMNH,09-Oct,NEIL ROSSER,,9.983333333,-83.06666667,Brown
3725,cydno,cydno chioneus Heliconius,ST,"exornata Heliconius cydno (Heliconius, H.H. Riffarth 1907)",,macho,Carrillo CRI SJ,,,m,,,,,BMNH,,NEIL ROSSER,,10.15,-83.91666667,Brown
3726,cydno,cydno chioneus Heliconius,ST,"exornata Heliconius cydno (Heliconius, H.H. Riffarth 1907)",,macho,San Carlos CRI AL,,,m,,,,,BMNH,,NEIL ROSSER,,10.33333,-84.43333,Geonames
3731,cydno,cydno chioneus Heliconius,,,,macho,Sixaola Rio CRI LI,,,m,,4,,,BMNH,,NEIL ROSSER,,9.556530556,-82.73621389,Google Earth
3732,cydno,cydno chioneus Heliconius,HT,"chioneus Heliconius cydno (Heliconius, H.W. Bates 1864)",,macho,Lion Hill PAN CN,,,m,,,,McLeannan,BMNH,,NEIL ROSSER,,9.233333333,-79.9,Brown
3733,cydno,cydno chioneus Heliconius,,,,macho,Lion Hill PAN CN,,,m,,,,McLeannan,BMNH,,NEIL ROSSER,,9.233333333,-79.9,Brown
3734,cydno,cydno chioneus Heliconius,,,,macho,Santa Fe PAN VE,,,m,,,,Arc�,BMNH,,NEIL ROSSER,,8.516666667,-81.08333333,Brown
3735,cydno,cydno chioneus Heliconius,,,,macho,Calobre PAN VE,,,m,,,,Arc�,BMNH,,NEIL ROSSER,,8.316666667,-80.85,Brown
3736,cydno,cydno chioneus Heliconius,,,,hembra,Lion Hill PAN CN,,,m,,,,McLeannan,BMNH,,NEIL ROSSER,,9.233333333,-79.9,Brown
3738,cydno,cydno chioneus Heliconius,,,,hembra,Veraguas PAN VE,,,m,,,,Bates Coll.,BMNH,,NEIL ROSSER,,8.866666667,-80.9,www.calle.com
3739,cydno,cydno chioneus Heliconius,,,,macho,Valdivia COL AN,,,m,,,1897,Pratt,BMNH,,NEIL ROSSER,,7.15,-75.45,Brown
3740,cydno,cydno chioneus Heliconius,,,,macho,Antioquia COL AN,,,m,,,,,BMNH,,NEIL ROSSER,,6.555833333,-75.82361111,NIMA
3741,cydno,cydno chioneus Heliconius,,,,macho,Crystallina COL AN,1100,1100,ft,,,1920,"Hall, A.",BMNH,06-Jul,NEIL ROSSER,,6.416666667,-74.58333333,Brown
3742,cydno,cydno chioneus Heliconius,,,,macho,Minas de Muzo COL BY,,,m,,5,1884,,BMNH,,NEIL ROSSER,,5.533333333,-74.1,Brown
3743,cydno,cydno chioneus Heliconius,,,,macho,Cananche COL BY,,,m,,7,1903,"Mathan, M. de",BMNH,,NEIL ROSSER,,5.588333333,-74.28611111,
3744,cydno,cydno chioneus Heliconius,,,,macho,El Lumbo COL,,,m,,7,1903,"Mathan, M. de",BMNH,,NEIL ROSSER,,,,unknown
3746,cydno,cydno chioneus Heliconius,,,,hembra,Valdivia COL AN,,,m,,,1897,Pratt,BMNH,,NEIL ROSSER,,7.15,-75.45,Brown
3747,cydno,cydno chioneus Heliconius,,,,hembra,Frontino COL AN,,,m,,,,"Salmon, T.K.",BMNH,,NEIL ROSSER,,6.766666667,-76.13333333,Brown
3748,cydno,cydno chioneus Heliconius,,,,hembra,Crystallina COL AN,1100,1100,ft,,,1920,"Hall, A.",BMNH,06-Jul,NEIL ROSSER,,6.416666667,-74.58333333,Brown
3749,cydno,cydno chioneus Heliconius,,,,hembra,Muzo COL BY,400,800,m,,,,"Fassl, A.H.",BMNH,,NEIL ROSSER,,5.533333333,-74.1,Brown
9221,cydno,cydno chioneus Heliconius,,,"f. exornata. This specimen was originally entered as cydno galanthus Heliconius, but amended given exornata's distrib.",hembra,Moravia CRI CA,,,m,29,7,1965,"Downey, JC",MGCL/FLMNH,,NEIL ROSSER,,9.85,-83.41666667,Brown
9230,cydno,cydno chioneus Heliconius,,,,macho,Pina PAN CZ,,,m,26,3,1970,"King, H.L.",MGCL/FLMNH,,NEIL ROSSER,,9.25,-79.96666667,Brown
9231,cydno,cydno chioneus Heliconius,,,,hembra,Pina PAN CZ,200,200,m,11,7,1972,"King, H.L.",MGCL/FLMNH,,NEIL ROSSER,,9.25,-79.96666667,Brown
9232,cydno,cydno chioneus Heliconius,,,,macho,Pina PAN CZ,,,m,,7,1970,"King, H.L.",MGCL/FLMNH,,NEIL ROSSER,,9.25,-79.96666667,Brown
9233,cydno,cydno chioneus Heliconius,,,,hembra,Campana Cerro PAN PA,,,m,20,6,1972,"King, H.L.",MGCL/FLMNH,,NEIL ROSSER,,8.683333333,-79.91666667,Label
9234,cydno,cydno chioneus Heliconius,,,,macho,Campana Cerro PAN PA,,,m,25,8,1976,Dickel,MGCL/FLMNH,,NEIL ROSSER,,8.683333333,-79.91666667,Label
9235,cydno,cydno chioneus Heliconius,,,,macho,Campana Cerro PAN PA,,,m,25,8,1976,Dickel,MGCL/FLMNH,,NEIL ROSSER,,8.683333333,-79.91666667,Label
9236,cydno,cydno chioneus Heliconius,,,,hembra,Campana Cerro PAN PA,,,m,20,6,1972,"King, H.L.",MGCL/FLMNH,,NEIL ROSSER,,8.683333333,-79.91666667,Label
9237,cydno,cydno chioneus Heliconius,,,,macho,Campana Cerro PAN PA,,,m,25,8,1976,Dickel,MGCL/FLMNH,,NEIL ROSSER,,8.683333333,-79.91666667,Label
9238,cydno,cydno chioneus Heliconius,,,,hembra,Pina PAN CZ,,,m,19,6,1970,"King, H.L.",MGCL/FLMNH,,NEIL ROSSER,,9.25,-79.96666667,Brown
9239,cydno,cydno chioneus Heliconius,,,,hembra,El Valle PAN CC,,,m,1,10,1984,"Anderson, R.A.",MGCL/FLMNH,,NEIL ROSSER,,8.6,-80.13333333,Label
9240,cydno,cydno chioneus Heliconius,,,,macho,Pina PAN CZ,,,m,,3,1971,"Small, G.B.",MGCL/FLMNH,,NEIL ROSSER,,9.25,-79.96666667,Brown
